SATCAT Designation,FullName,Latitude,Longitude,Launch Log Abbreviated Designation,,,value
AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,CC,,,1
AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,V,,,2
CAS,"Spaceport Gran Canaria, Spain",27.931944,-15.386667,"L-1011,GANC",,,3
DLS,"Dombarovsky Air Base, Russia",50.8,59.516667,YAS,,,4
ERAS,"Wallops Flight Facility, USA",37.8,-75.5,WI,,,5
FRGUI,"Guiana Space Centre, French Guiana",5.232,-52.776,CSG,,,6
HGSTR,"Hammaguir Launch Site, Algeria",30.875014,-3.065188,HMG,,,7
JSC,"Jiuquan Satellite Launch Center, China",40.6,99.9,JQ,,,8
KODAK,"Kodiak Launch Complex, Alaska, USA",57.438136,-152.344617,KLC,,,9
KSCUT,"Uchinoura Space Center, Japan",31.2,131.1,KASC,,,10
KWAJ,"Omelek Island, Kwajalein Atoll",9.049117,167.743151,KMR,,,11
KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,GTsP-4,,,12
NSC,"Naro Space Center, South Korea",34.431867,127.535069,NARO,,,13
PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,GIK-1,,,14
SEAL,"Sea Launch Platform (mobile), USA",0.1,-154,"ODYSSEY,KLA",,,15
SEMLS,"Imam Khomeini Space Center, Iran",35.234722,53.920833,SEM,,,16
SNMLP,"Broglio Space Centre, Kenya",-2.938333,40.2125,SMLC,,,17
SRILR,"Satish Dhawan Space Centre, India",13.9,80.4,SHAR,,,18
SUBL,"Submarine Launch Platform (mobile), Russia",74.803859,36.610515,"K-496,BLA",,,19
SVOBO,"Svobodnyy Launch Complex, Russia",51.4,128.3,GIK-2,,,20
TAISC,"Taiyuan Space Center, China",37.5,112.6,TYSC,,,21
TANSC,"Tanegashima Space Center, Japan",30.4,131,TNSC,,,22
TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,NIIP-5,,,23
WOMRA,"Woomera Test Range, Australia",-31.1,136.8,WOO,,,24
XICLF,"Xichang Launch Facility, China",28.25,102,XSC,,,25
YAVNE,"Yavne Launch Facility, Israel",31.5,34.5,PALB,,,26
YUN,"Sohae Satellite Launching Station, North Korea",39.660083,124.705306,SOHAE,,,27
,"Alcantara Space Center, Brasil          ",-2.373056,-44.396389,ALCA,,,28
,"Tonghae Satellite Launching Ground, North Korea",40.85,129.666667,TONGH,,,29
